Population,Continent,Status,Mated,Duration
IT,EU,Control,1,25
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,1,26
IT,EU,Control,1,20
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,1,15
IT,EU,Control,0,NA
IT,EU,Control,1,20
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,1,25
IT,EU,Control,1,22
IT,EU,Control,0,NA
IT,EU,Control,1,15
IT,EU,Control,1,19
IT,EU,Control,0,NA
IT,EU,Control,1,20.25
IT,EU,Control,0,NA
IT,EU,Control,1,26.17
IT,EU,Control,1,19.48
IT,EU,Control,1,7.42
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,1,18.31
IT,EU,Control,1,27.03
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,1,20.31
IT,EU,Control,0,NA
IT,EU,Control,1,22.07
IT,EU,Control,1,13.23
IT,EU,Control,1,27.47
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,0,NA
IT,EU,Control,1,24.03
IT,EU,Control,1,18.4
IT,EU,Control,1,22.04
IT,EU,Control,1,16.06
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T1,0,NA
IT,EU,T2,1,25
IT,EU,T2,1,25
IT,EU,T2,1,23
IT,EU,T2,1,20
IT,EU,T2,1,18
IT,EU,T2,1,21
IT,EU,T2,1,18
IT,EU,T2,1,16
IT,EU,T2,1,23
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,1,20
IT,EU,T2,1,21
IT,EU,T2,1,23
IT,EU,T2,1,25
IT,EU,T2,1,20
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
IT,EU,T2,0,NA
